Investment date	Name	Invested	Description	Amount of splints	Value
7/6/2024	Albert Willem, feat. P. B. the Elder, Children's Games, 2022	€ 50.00	Art	1	€ 50.00
7/6/2024	Choi Myoung Young, Conditional Planes 22-602, 2022	€ 50.00	Art	1	€ 50.00
7/6/2024	Nike, Air Jordan 4 Travis Scott Purple F&F	€ 50.00	Kleding	1	€ 50.00
7/7/2024	Audi R8 V10	€ 50.00	Auto's	1	€ 50.00
7/7/2024	Britt Boutros-Ghali, Portfolio Part  2	€ 50.00	Art	1	€ 50.00
7/14/2024	De Bethune DB25 Starry Varius,  DB25VTIS3	€ 50.00	Watch	1	€ 50.00
7/14/2024	Glenfarclas Pagoda, Reserve Trilogy, 43 to 59 years old	€ 50.00	Whisky	1	€ 50.00
7/16/2024	Móyòsóré Martins, How I See It  (Triptych), 2023	€ 100.00	Art	2	€ 50.00
7/23/2024	Charizard 1. Edition  Shadowless Basis-Set mit PSA 10 graded Autogramm	€ 50.00	Pokemon	1	€ 50.00
7/23/2024	Jean-Michel Basquiat, Odours of Punt, 2024	€ 50.00	Art	1	€ 50.00
7/23/2024	Raghav Babbar, Chitrakaar (Self Portrait), 2023	€ 50.00	Art	1	€ 50.00
7/26/2024	Jannis Kounellis, Untitled, 1983	€ 50.00	Art	1	€ 50.00
7/26/2024	Shohei Ohtani 2018 Bowman Chrome Atomic Refractor CRASO 100/100 Rookie	€ 50.00	Baseball	1	€ 89.43
7/30/2024	Duncan Robert McCormick, Floating Flamingo, 2023	€ 50.00	Art	1	€ 50.00
7/31/2024	Elitsa Ristova, Cheri, 2024	€ 50.00	Art	1	€ 50.00
8/10/2024	KAWS, Companion Chair (Grey), 2019	€ 50.00	 Meubilair 	1	€ 50.00
8/20/2024	LeBron James 2005 SP Game Used By the Letter E 4/5 BGS 9	€ 50.00	 Baseball 	1	€ 50.00
8/20/2024	Raghav Babbar, Time for Work, 2023	€ 50.00	 Art 	1	€ 50.00
8/24/2024	Ksenia Pasyura, You Better Escape, 2024	€ 50.00	 Art 	1	€ 50.00
8/27/2024	Bas Armagnac Domaine de Tourné 1974 & Domaine de Sancin 1984 (one cask each)	€ 50.00	 Whisky 	1	€ 50.00
8/27/2024	Elitsa Ristova, No Heaven No Skies, 2020	€ 50.00	 Art 	1	€ 50.00
9/3/2024	Choi Myoung Young, Conditional Planes 22-601	€ 50.00	 Art 	1	€ 50.00
